id,name,expression,weight
PA3478,rhlB,1,5
PA3479,rhlA,1,5
PA3519,PA3519,-1,5
PA3535,PA3535,1,5
PA3540,algD,1,5
PA3621.1,rsmZ,1,5
PA3627,ygbB,1,5
PA3658,glnD,1,5
PA3662,PA3662,1,5
PA3691,PA3691,1,5
PA3713,spdH,1,5
PA3718,PA3718,1,5
PA3722,PA3722,1,5
PA3724,lasB,1,5
PA3732,PA3732,0,5
PA3755,PA3755,-1,5
PA3763,purL,-1,5
PA3818,PA3818,-1,5
PA3834,valS,0,5
PA3835,PA3835,1,5
PA3840,PA3840,1,5
PA3841,exoS,1,5
PA3842,spcS,1,5
PA3843,PA3843,-1,5
PA3854,PA3854,-1,5
PA3874,narH,0,5
PA3904,PA3904,1,5
PA3908,PA3908,1,5
PA3921,PA3921,1,5
PA3951,PA3951,1,5
PA3992,PA3992,0,5
PA4013,PA4013,-1,5
PA4022,hdhA,1,5
PA4023,PA4023,1,5
PA4033,PA4033,1,5
PA4058,PA4058,-1,5
PA4059,PA4059,-1,5
PA4060,PA4060,-1,5
PA4101,BfmR,-1,10
PA4103,PA4103,1,5
PA4104,PA4104,1,5
PA4105,PA4105,1,5
PA4106,PA4106,1,5
PA4107,PA4107,1,5
PA4117,bphP,1,5
PA4139,PA4139,1,5
PA4147,acoR,-1,5
PA4154,PA4154,-1,5
PA4205,mexG,1,5
PA4206,mexH,1,5
PA4207,mexI,1,5
PA4208,opmD,1,5
PA4209,phzM,-1,5
PA4210,phzA1,-1,5
PA4227,pchR,0,5
PA4285,recC,0,5
PA4296,pprB,-1,5
PA4297,tadG,1,5
PA4300,tadC,1,5
PA4304,rcpA,1,5
PA4306,flp,1,5
PA4307,pctC,1,5
PA4314,purU1,1,5
PA4315,mvaT,-1,5
PA4317,PA4317,1,5
PA4324,PA4324,1,5
PA4349,PA4349,1,5
PA4350,PA4350,-1,5
PA4354,PA4354,1,5
PA4367,bifA,1,5
PA4396,PA4396,1,5
PA4418,ftsI,-1,5
PA4462,RpoN,1,10
PA4492,magA,0,5
PA4496,dppA1,1,5
PA4512,lpxO1,1,5
PA4520,PA4520,1,5
PA4523,PA4523,-1,5
PA4525,pilA,1,5
PA4541,PA4541,0,5
PA4550,fimU,1,5
PA4552,pilW,1,5
PA4553,pilX,1,5
PA4554,pilY1,1,5
PA4558,PA4558,1,5
PA4563,rpsT,1,5
PA4600,nfxB,1,5
PA4601,morA,1,5
PA4625,cdrA,-1,5
PA4638,PA4638,-1,5
PA4639,PA4639,1,5
PA4677,PA4677,1,5
PA4683,PA4683,1,5
PA4684,PA4684,-1,5
PA4726.11,crcZ,1,5
PA4739,PA4739,1,5
PA4807,selB,0,5
PA4843,GcbA,1,5
PA4844,PA4844,1,5
PA4881,PA4881,1,5
PA4893,ureG,-1,5
PA4913,PA4913,-1,5
PA4951,orn,-1,5
PA4980,PA4980,1,5
PA5021,PA5021,-1,5
PA5078,opgG,1,5
PA5100,hutU,-1,5
PA5104,PA5104,-1,5
PA5125,ntrC,-1,5
PA5138,PA5138,1,5
PA5146,PA5146,0,5
PA5152,PA5152,1,5
PA5153,PA5153,1,5
PA5167,dctP,1,5
PA5168,dctQ,1,5
PA5169,dctM,1,5
PA5170,arcD,-1,5
PA5171,arcA,1,5
PA5175,cysQ,-1,5
PA5183.1,RsmN,0,10
PA5184,PA5184,1,5
PA5242,ppk,1,5
PA5243,hemB,1,5
PA5261,AlgR,0,10
PA5267,hcpB,1,5
PA5324,sphR,0,5
PA5351,rubA1,1,5
PA5368,pstC,-1,5
PA5427,adhA,-1,5
PA5447,wbpZ,1,5
PA5450,wzt,-1,5
PA5476,citA,-1,5
PA5481,PA5481,1,5
PA5482,PA5482,1,5
PA5512,mifS,0,5
PA5530,PA5530,1,5
PA5561,atpI,-1,5
pasA,pasA,1,5
phnAB,phnAB,1,5
phzA,phzA,1,5
rsmX,rsmX,-1,5
tssA2,tssA2,-1,5
tssB3,tssB3,-1,5
